display_entity_type	entity_type	event_name	event_type	node_id	event_node_name
ap	radio	radio_deaf	rxmgmt_stuck	36	ap|radio|radio_deaf|rxmgmt_stuck
ap	radio	radio_stuck	beacon_stuck	37	ap|radio|radio_stuck|beacon_stuck
ap	radio	radio_stuck	partial_beacon_stuck	38	ap|radio|radio_stuck|partial_beacon_stuck
client	client	bad_client	client_asso_failure	39	client|client|bad_client|client_asso_failure
client	client	bad_client	client_auth_failure	40	client|client|bad_client|client_auth_failure
client	client	bad_client	wired_client_auth_failure	41	client|client|bad_client|wired_client_auth_failure
client	client	bad_client	wired_client_dhcp_failure	42	client|client|bad_client|wired_client_dhcp_failure
client	client	client_roaming_anomaly	latency-slow-roam	43	client|client|client_roaming_anomaly|latency-slow-roam
client	client	client_roaming_anomaly	stability-no-fast-roam	44	client|client|client_roaming_anomaly|stability-no-fast-roam
gateway	gateway	gateway_disconnect	gateway_disconnect	45	gateway|gateway|gateway_disconnect|gateway_disconnect
gateway	gateway_chassis	gateway_health	high_control_plane_cpu_usage	46	gateway|gateway_chassis|gateway_health|high_control_plane_cpu_usage
gateway	gateway_chassis	gateway_health	high_memory_usage	47	gateway|gateway_chassis|gateway_health|high_memory_usage
gateway	gateway_interface	network_issue	high_network_jitter	48	gateway|gateway_interface|network_issue|high_network_jitter
gateway	gateway_interface	network_issue	high_network_latency	49	gateway|gateway_interface|network_issue|high_network_latency
gateway	gateway_interface	network_issue	high_network_loss	50	gateway|gateway_interface|network_issue|high_network_loss
site	site	connectivity_failure	failed_scope_arp	51	site|site|connectivity_failure|failed_scope_arp
site	site	connectivity_failure	failed_scope_authentication	52	site|site|connectivity_failure|failed_scope_authentication
site	site	connectivity_failure	failed_scope_authentication_wired	53	site|site|connectivity_failure|failed_scope_authentication_wired
site	site	connectivity_failure	failed_scope_dhcp	54	site|site|connectivity_failure|failed_scope_dhcp
site	site	connectivity_failure	failed_scope_dhcp_wired	55	site|site|connectivity_failure|failed_scope_dhcp_wired
site	site	connectivity_failure	failed_scope_dns	56	site|site|connectivity_failure|failed_scope_dns
site	site	preconnection_anomaly	authentication	57	site|site|preconnection_anomaly|authentication
site	site	preconnection_anomaly	dhcp	58	site|site|preconnection_anomaly|dhcp
site	site	roaming_anomaly	signal_sticky_client	59	site|site|roaming_anomaly|signal_sticky_client
site	site	saturn_anomaly	ARP	60	site|site|saturn_anomaly|ARP
site	site	saturn_anomaly	AUTH	61	site|site|saturn_anomaly|AUTH
site	site	saturn_anomaly	DHCP	62	site|site|saturn_anomaly|DHCP
site	site	saturn_anomaly	DNS	63	site|site|saturn_anomaly|DNS
switch	switch	config_failure	auto_rollback	64	switch|switch|config_failure|auto_rollback
switch	switch	config_failure	commit_check	65	switch|switch|config_failure|commit_check
switch	switch	config_failure	commit_confirm	66	switch|switch|config_failure|commit_confirm
switch	switch	config_failure	commit_confirm_config_error	67	switch|switch|config_failure|commit_confirm_config_error
switch	switch	config_failure	commit_confirm_error	68	switch|switch|config_failure|commit_confirm_error
switch	switch	config_failure	commit_confirm_write_failure	69	switch|switch|config_failure|commit_confirm_write_failure
switch	switch	config_failure	load_config_syntax_error	70	switch|switch|config_failure|load_config_syntax_error
switch	switch	config_failure	load_current_config	71	switch|switch|config_failure|load_current_config
switch	switch	config_failure	unknown	72	switch|switch|config_failure|unknown
switch	switch	switch_disconnect	switch_disconnect	73	switch|switch|switch_disconnect|switch_disconnect
switch	switch	switch_health	chassis_partition_alarm	74	switch|switch|switch_health|chassis_partition_alarm
switch	switch	switch_health	fan_alarm	75	switch|switch|switch_health|fan_alarm
switch	switch	switch_stp_loop	switch_stp_loop	76	switch|switch|switch_stp_loop|switch_stp_loop
switch	switch_chassis	switch_health	high_cpu_usage	77	switch|switch_chassis|switch_health|high_cpu_usage
switch	switch_chassis	switch_health	high_power_usage	78	switch|switch_chassis|switch_health|high_power_usage
switch	switch_chassis	switch_health	high_temp	79	switch|switch_chassis|switch_health|high_temp
switch	switch_interface	BPDU_Error	port_blocked	80	switch|switch_interface|BPDU_Error|port_blocked
switch	switch_interface	bad_cable	bad_cable	81	switch|switch_interface|bad_cable|bad_cable
switch	switch_interface	congestion	interface_congestion	82	switch|switch_interface|congestion|interface_congestion
switch	switch_interface	congestion	uplink_congestion	83	switch|switch_interface|congestion|uplink_congestion
switch	switch_interface	negotiation_mismatch	mtu_mismatch	84	switch|switch_interface|negotiation_mismatch|mtu_mismatch
switch	switch_interface	negotiation_mismatch	negotiation_incomplete	85	switch|switch_interface|negotiation_mismatch|negotiation_incomplete
switch	switch_interface	network_issue	jitter	86	switch|switch_interface|network_issue|jitter
switch	switch_interface	network_issue	latency	87	switch|switch_interface|network_issue|latency
switch	switch_interface	storm_control	storm_control	88	switch|switch_interface|storm_control|storm_control
switch	switch_interface	switch_port_flap	switch_port_flap	89	switch|switch_interface|switch_port_flap|switch_port_flap
